"null","Sourced","Placed","References","Value","Footprint","Quantity"
1,"","","R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R23, R24, R25, R26, R27, R28, R29, R30",330,"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",21
2,"","","R1, R2, R3, R4, R5, R6, R7, R8","10k","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",8
